Episode,Steps,Reward
1,1000,-7.24
2,1000,17.19
3,1000,53.82
4,1000,-35.81
5,1000,38.46
6,1000,28.13
7,1000,47.24
8,1000,-20.05
9,1000,5.98
10,1000,-5.08
11,1000,52.41
12,1000,32.75
13,1000,-51.01
14,1000,-104.69
15,1000,-185.92
16,1000,-107.05
17,1000,19.24
18,1000,56.16
19,1000,51.49
20,1000,61.60
21,1000,83.47
22,1000,74.44
23,1000,-117.76
24,1000,-25.58
25,1000,6.04
26,1000,100.64
27,1000,78.90
28,1000,-64.10
29,1000,24.27
30,1000,86.86
31,1000,38.23
32,1000,113.89
33,1000,-6.61
34,1000,98.52
35,1000,-7.80
36,1000,63.87
37,1000,64.90
38,1000,61.14
39,1000,83.43
40,1000,29.64
41,1000,37.74
42,1000,-55.04
43,1000,61.20
44,1000,36.30
45,1000,24.97
46,1000,61.67
47,1000,61.74
48,1000,-35.83
49,1000,107.75
50,1000,50.67
